1,Fullmetal Alchemist: Brotherhood,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse''s body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse''s soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher''s Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys'' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.09,Bones,NULL,"Action, Adventure, Drama, Fantasy",64,24
2,Overlord IV,"E-Rantel, the capital city of the newly established Sorcerer Kingdom, suffers from a dire shortage of goods. Once a prosperous city known for its trade, it now faces a crisis due to its caution—or even fear—of its king, Ainz Ooal Gown. To make amends, Ainz sends Albedo to the city as a diplomatic envoy.

Meanwhile, the cardinals of the Slane Theocracy discuss how to retaliate against Ainz after his attack crippled the Re-Estize Kingdom''s army, plotting for the Baharuth Empire to take over the Sorcerer Kingdom. However, when Emperor Jircniv Rune Farlord El Nix arranges a meeting with the Theocracy''s messengers at a colosseum, he is confronted by none other than Ainz himself.

With their secret gathering now out in the open, the emperor and his guests learn that Ainz has challenged the Warrior King, the empire''s greatest fighter, to a duel. With Ainz''s motivations beyond his comprehension, Jircniv can do nothing but watch as humanity''s future changes before his very eyes.

[Written by MAL Rewrite]
",8.08,Madhouse,NULL,"Action, Adventure, Fantasy",13,23
3,Fairy Tail: Final Series,"Although Fairy Tail has been disbanded and its members are now spread far across Fiore, Natsu Dragneel hasn''t given up on reuniting the guild he and others once called home. Along with his companions Happy and Lucy Heartfilia, he will stop at nothing to keep Fairy Tail and its fiery spirit alive even as they face their most difficult trial yet—the invasion of Fiore by the Alvarez Empire''s immense army and their all-too-familiar ruler.

[Written by MAL Rewrite]",7.59,NULL,NULL,"Action, Adventure, Fantasy",51,23
4,Death March kara Hajimaru Isekai Kyousoukyoku,"Ichirou Suzuki, a programmer nearing his thirties, is drowning in work. Worn out, he eventually has a chance to catch up on sleep, only to wake up and discover himself in a fantasy RPG world, which is mashed together from the games he was debugging in reality. In this new place, he realizes that not only has his appearance changed to a younger version of himself, but his name has also changed to Satou, a nickname he used while running beta tests on games. 

However, before Satou can fully grasp his situation, an army of lizardmen launch an assault on him. Forced to cast a powerful spell in retaliation, Satou wipes them out completely and his level is boosted to 310, effectively maximizing his stats. Now, as a high-leveled adventurer armed with a plethora of skills and no way to return to reality, Satou sets out to explore this magical new world.

[Written by MAL Rewrite]
",6.45,NULL,"Harem, Isekai","Adventure, Fantasy",12,23
5,Zero no Tsukaima: Futatsuki no Kishi,"Revered as heroes for their role in defending Tristain, Louise Françoise and her familiar Saito Hiraga face heavy pressure to continue protecting the Kingdom. With an uneasy peace now established within Albion, the newly crowned Queen Henrietta must deal with a political struggle brewing on the horizon. To make matters worse, a new villain has begun plotting in the shadows against the Crown.

With the continuing threats that face the Kingdom, Louise and Saito are compelled to work together once more. No longer ""Louise the Zero,"" the young mage''s newfound aptitude for Void magic gives her enough power to wipe out an entire village; however, wielding these abilities comes with its share of challenges. As more conflicts arise, the idea of placing honor above oneself is put into question—regardless of their answer, their only choice is to see it through until the end.

[Written by MAL Rewrite]",7.4,J.C.Staff,"Harem, Isekai, School","Action, Adventure, Comedy, Fantasy, Romance, Ecchi",12,23
6,Sora yori mo Tooi Basho,"Filled with an overwhelming sense of wonder for the world around her, Mari Tamaki has always dreamt of what lies beyond the reaches of the universe. However, despite harboring such large aspirations on the inside, her fear of the unknown and anxiety over her own possible limitations have always held her back from chasing them. But now, in her second year of high school, Mari is more determined than ever to not let any more of her youth go to waste. Still, her fear continues to prevent her from taking that ambitious step forward—that is, until she has a chance encounter with a girl who has grand dreams of her own.

Spurred by her mother''s disappearance, Shirase Kobuchizawa has been working hard to fund her trip to Antarctica. Despite facing doubt and ridicule from virtually everyone, Shirase is determined to embark on this expedition to search for her mother in a place further than the universe itself. Inspired by Shirase''s resolve, Mari jumps at the chance to join her. Soon, their efforts attract the attention of the bubbly Hinata Miyake, who is eager to stand out, and Yuzuki Shiraishi, a polite girl from a high class background. Together, they set sail toward the frozen south.

Sora yori mo Tooi Basho follows the captivating journey of four spirited girls, all in search of something great.

[Written by MAL Rewrite]",8.52,Madhouse,NULL,"Adventure, Comedy, Drama",13,23
20,"Kumo desu ga, Nani ka?","The day is as normal as it can be in high school as the students peacefully go about their everyday activities until an unprecedented catastrophe strikes the school, killing every person in its wake. Guided by what seems to be a miracle, a handful of students are fortunate enough to be reincarnated into another world as nobles, princes, and other kinds of people with prestigious backgrounds.

One girl, however, is not so lucky. Being reborn as a spider of the weakest kind, she immediately experiences the hardships of her dire situation. Even so, she must press on to survive the numerous threats that endanger her life. Discovering that her new world has a system like that of an RPG, she tries her best to hunt prey and defeat monsters to level up and evolve. As she gradually grows stronger, she hopes one day her efforts will be rewarded, and that she will be granted a better life.

[Written by MAL Rewrite]",7.45,Millepensee,"Isekai, Reincarnation","Action, Adventure, Comedy, Fantasy, Mystery",24,23
771,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,"Recap of first nine episodes of Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru.
",6.35,White Fox,NULL,"Action, Adventure, Comedy, Fantasy",1,23
2916,Shaonian Ge Xing: Haiwai Xianshan Pian,The third season of Shaonian Ge Xing.,,CG Year,"Historical, Martial Arts","Action, Adventure, Mystery",26,19
7,JoJo no Kimyou na Bouken Part 6: Stone Ocean,"Conspiring forces frame Jolyne Kuujou for a reckless crime, landing her in the infamous Green Dolphin Street Jail. Much like her father Joutarou, Jolyne is brash, brave, and just; she rails against her unfair sentence and quickly discovers the sinister circumstances that led to her incarceration.

A gift from her absent father grants Jolyne the power of Stone Free, a supernatural ability known as a Stand that allows her to unravel her body into string. Jolyne uses Stone Free to battle her way through the prison, recruiting new allies—Ermes Costello and Foo Fighters—to assist in her investigation. Together, the fearless women fight to uncover the menace behind Whitesnake, an enemy Stand responsible for the increasingly dangerous prisoners who are after Jolyne''s life.

Through Jolyne, the Joestar lineage confronts the legacy of its one true enemy. Jolyne and her friends race to stop a disastrous plot and put an end to a culminating evil.

[Written by MAL Rewrite]",8.13,David Production,NULL,"Action, Adventure, Supernatural",12,24
8,Ookami to Koushinryou II,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo''s hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.

[Written by MAL Rewrite]",8.31,NULL,NULL,"Adventure, Fantasy, Romance",12,23
9,Tenkuu no Shiro Laputa,"In a world filled with planes and airships, Sheeta is a young girl who has been kidnapped by government agents who seek her mysterious crystal amulet. While trapped aboard an airship, she finds herself without hope—that is, until the ship is raided by pirates. Taking advantage of the ensuing confusion, Sheeta manages to flee from her captors. Upon her escape, she meets Pazu, a boy who dreams of reaching the fabled flying castle, Laputa. The two decide to embark on a journey together to discover this castle in the sky. However, they soon find the government agents back on their trail, as they too are trying to reach Laputa for their own greedy purposes.

Tenkuu no Shiro Laputa follows the soaring adventures of Sheeta and Pazu, all while they learn how dreams and dire circumstances can bring two people closer together.

[Written by MAL Rewrite]",8.26,Studio Ghibli,NULL,"Adventure, Award Winning, Fantasy, Romance, Sci-Fi",1,124
10,Maoyuu Maou Yuusha,"Fifteen years have passed since the war between humans and demons began. Dissatisfied with their slow advance into the Demon Realm, the Hero abandons his companions to quickly forge ahead towards the Demon Queen''s castle. Upon his arrival at the royal abode, the Hero makes a startling discovery: not only is the Demon Queen a woman of unparalleled beauty, but she also seeks the Hero''s help. Confused by this unexpected turn of events, the Hero refuses to ally himself with his enemy, claiming that the war the demons have waged is tearing the Southern Nations apart.

However, the Demon Queen rebuts, arguing that the war has not only united humanity but has also brought them wealth and prosperity, providing evidence to support her claims. Furthermore, she explains that if the war were to end, the supplies sent by the Central Nations in aid to the Southern Nations would cease, leaving hundreds of thousands to starve. Fortunately, she offers the Hero a way to end the war while bringing hope not only to the Southern Nations, but also to the rest of the world, though she will need his assistance to make this a reality.

Finally convinced, the Hero agrees to join his now former enemy in her quest. Vowing to stay together through sickness and health, they set off for the human world.

[Written by MAL Rewrite]",7.23,Arms,NULL,"Adventure, Fantasy, Romance",12,23
